registry_key,ingestion_package,domain_tag,historical_weight_metadata,task_tag,historical_holdout_flag,registered_in_early_notebook,rows_in_recovered_registry,rows_in_recovered_early_manifest,rows_in_v4_audited_universe,rows_in_final_frozen_dataset,survival_status,evidence_status
plantvillage,mohitsingh1804/plantvillage/PlantVillage/train,lab,1,cls,false,true,42591,42591,42591,39973,surviving_source_family,secondary_notebook_registry_plus_primary_manifest_reconciliation
plantdoc,mdasim12/plantdoc/DocPlant/train,field,2,cls,false,true,2592,2592,2592,2559,surviving_source_family,secondary_notebook_registry_plus_primary_manifest_reconciliation
abcgmp,sabahatabbas/abc-fruit-and-leaf/ABCGMP Fruit and Leaf Disease Six Crop Dataset/6  indian Fruit crops Fruit and Leaf Disease Dataset/6  indian Fruit crops Fruit and Leaf Disease Dataset,field,1.5,cls,false,true,6871,6871,6871,6833,surviving_source_family,secondary_notebook_registry_plus_primary_manifest_reconciliation
coleaf,sabahatabbas/coleaf/CoLeaf DATASET,field,1.5,cls,false,true,119,119,119,119,surviving_source_family,secondary_notebook_registry_plus_primary_manifest_reconciliation
fieldplant,bloox2/fieldplant/train,field,1.5,cls,false,true,0,0,0,0,registered_but_no_rows_in_recovered_registry,secondary_notebook_registry_plus_primary_manifest_reconciliation
plant100k,salmasyed1360/plant-diseases-100k-labelled-images/crops,lab,1,cls,false,true,8747,8747,8747,7903,surviving_source_family,secondary_notebook_registry_plus_primary_manifest_reconciliation
plantcity_pk,abdulmannann/plantcity/PlantCity A Comprehensive Image Based on Multi Cro/Images/train/train,field,4,cls,true,true,35446,9429,35446,33872,surviving_source_family,secondary_notebook_registry_plus_primary_manifest_reconciliation
kami_pk,kamipakistan/plant-diseases-detection-dataset/PlantDisease416x416/PlantDisease416x416/train,field,3,cls,false,true,0,0,0,0,registered_but_no_rows_in_recovered_registry,secondary_notebook_registry_plus_primary_manifest_reconciliation
bangladesh,nafishamoin/new-bangladeshi-crop-disease/BangladeshiCrops/BangladeshiCrops/Crop___Disease,field,2.5,cls,false,true,7188,7187,7188,4092,surviving_source_family,secondary_notebook_registry_plus_primary_manifest_reconciliation
plant_segmentation,ranamuhammadahmed6/plant-segmentation/plantsegv2/images/train,field,2,cls,false,true,0,0,0,0,registered_but_no_rows_in_recovered_registry,secondary_notebook_registry_plus_primary_manifest_reconciliation
cotton,seroshkarim/cotton-leaf-disease-dataset/cotton,field,3,cls,false,true,0,0,0,0,registered_but_no_rows_in_recovered_registry,secondary_notebook_registry_plus_primary_manifest_reconciliation
wheat,kushagra3204/wheat-plant-diseases/data/train,field,2.5,cls,false,true,0,0,0,0,registered_but_no_rows_in_recovered_registry,secondary_notebook_registry_plus_primary_manifest_reconciliation
rice,vbookshelf/rice-leaf-diseases/rice_leaf_diseases,field,2,cls,false,true,34,18,18,18,surviving_source_family,secondary_notebook_registry_plus_primary_manifest_reconciliation
corn,smaranjitghose/corn-or-maize-leaf-disease-dataset/data,field,1.5,cls,false,true,75,75,75,67,surviving_source_family,secondary_notebook_registry_plus_primary_manifest_reconciliation
sugarcane,akilesh253/sugarcane-plant-diseases-dataset/Sugarcane_leafs,field,1.5,cls,false,true,13899,13899,13899,13671,surviving_source_family,secondary_notebook_registry_plus_primary_manifest_reconciliation
